Favorite,Course,Enrolled as,Nickname,Published,Term
CIS6930.701F22.90746 CSE TA Training cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1756824,Student,,YesThis course has been published.,Fall 22
CIS6971.008S20.20069 Thesis: Master's cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1382522,Student,,YesThis course has been published.,Spring 20
CIS6971.008F20.87588 Thesis: Master's cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1470590,Student,,YesThis course has been published.,Fall 20
CIS6971.008F19.87904 Thesis: Master's cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1359584,Student,,YesThis course has been published.,Fall 19
CIS6930.001S22.11570 Deep Learning cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1665238,Student,,YesThis course has been published.,Spring 22
CIS6971.008U20.52899 Thesis: Master's cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1432716,Student,,YesThis course has been published.,Summer 20
CIS7910.008F20.85864 Directed Research cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1464060,Student,,YesThis course has been published.,Fall 20
CIS6930.005S24.16571 Wireless and Mobile Computing cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1880710,TA,,YesThis course has been published.,Spring 24
CIS6930.005F24.92372 CMOS-VLSI Design cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1896500,TA,,YesThis course has been published.,Fall 24
CIS6900.008S19.17871 Independent Study cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1313794,Student,,YesThis course has been published.,Spring 19
CIS7980.008F23.87175 Dissertation: Doctoral cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1833934,Student,,YesThis course has been published.,Fall 23
CIS7910.008S20.16287 Directed Research cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1391548,Student,,YesThis course has been published.,Spring 20
CIS7980.008F22.81269 Dissertation: Doctoral cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1708204,Student,,YesThis course has been published.,Fall 22
CIS7980.008F24.93066 Dissertation: Doctoral cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1894582,Student,,YesThis course has been published.,Fall 24
CIS7910.008S21.16112 Directed Research cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1521540,Student,,YesThis course has been published.,Spring 21
CIS7980.008S22.13773 Dissertation: Doctoral cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1644416,Student,,YesThis course has been published.,Spring 22
CIS7910.008S19.16708 Directed Research cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1318779,Student,,YesThis course has been published.,Spring 19
CIS7910.008U20.54768 Directed Research cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1433498,Student,,YesThis course has been published.,Summer 20
CIS7980.008S24.18338 Dissertation: Doctoral cannot be added to the courses menu unless the course is active.,https://usflearn.instructure.com/courses/1908244,Student,,YesThis course has been published.,Spring 24
